Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature (F),Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Flying Dog Bloodline Blood Orange IPA,13.99,4.8,5.0,IPA,United States,Craft,8.0,40.0,"Hoppy, Citrus, Bitter, Dry","Chicken, Duck & Game Bird","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Four Peaks Brewing Company Kilt Lifter,11.99,4.7,7.0,Scotch Ale / Wee Heavy,United States,Craft,6.7,21.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,60.0,130.0,8.0,None
Simply Spiked Strawberry Hard Lemonade,3.99,4.4,1.0,Hard Lemonade,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,Unknown,49.0,130.0,8.0,None
Mike's Hard Peach Lemonade,10.49,4.2,11.0,Hard Lemonade,United States,Craft,5.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Mason Jar",45.0,130.0,8.0,Gluten Reduced
Samuel Smith Organic Chocolate Stout,12.99,4.8,13.0,Milk Stout,England,Craft,5.0,28.0,"Smooth, Chocolate, Creamy, Mocha","Nuts, Dessert - Fruit",Pint Glass,50.0,130.0,8.0,Organic
DC Brau Joint Resolution Hazy IPA,49.99,4.7,3.0,New England / Hazy IPA,DC,Craft,5.5,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Goose Island 312 Urban Wheat Ale,10.29,4.7,9.0,Wheat Ale,United States,Craft,4.5,18.0,"Bready, Bright, Citrus","Salads & Greens, Fish - White, Cheese - Fresh & Soft",Pint Glass,50.0,130.0,8.0,None
Kronenbourg 1664 Blanc,12.59,4.6,6.0,Witbier,France,Craft,5.0,7.0,"Apricot, Citrus, Flavored, Floral, Fresh, Fruity, Light, Peach, Silky, Smooth, Velvety","Cheese - Fresh & Soft, Fish - Meaty & Oily, Fish - White, Fruit - Sweet, Salads & Greens",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
El Segundo Broken Skull IPA,9.89,4.8,10.0,IPA,United States,Craft,6.7,67.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
La Chouffe Golden Ale,12.99,4.9,2.0,Belgian Strong Ale,Belgium,Craft,8.0,20.0,"Strong, Stone Fruit, Honey, Intense","Cheese - Creamy & Bloomy, Cured Meats",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Pizza Port Swami's IPA,16.99,4.8,3.0,IPA,United States,Craft,6.8,72.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Night Shift Fluffinity Hazy New England IPA,16.99,4.7,8.0,New England / Hazy IPA,United States,"Craft, Independent Craft Brewer",7.0,35.0,"Citrus, Fresh, Fruity, Hoppy, Nectarine, Smooth, Tropical, Tropical Fruit","Cheese - Hard Aged, Fish - Meaty & Oily",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Night Shift Hoot Hard Seltzer Variety Pack,19.0,4.6,7.0,Hard Seltzer,United States,Variety Pack,4.0,35.0,No special notesbeer_updated,Unknown,Snifter/Goblet/Chalice,45.0,130.0,8.0,None
Greater Good Pulp Daddy IPA,17.99,4.7,5.0,New England / Hazy IPA,United States,Craft,8.0,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Einstok Icelandic White Ale,14.99,4.8,18.0,Witbier,Iceland,"Craft, Independent Craft Brewer",5.2,35.0,"Citrus, Yeasty, Spicy, Smooth","Cheese - Creamy & Bloomy, Chicken, Fish - White, Fruit - Citrus, Salads & Greens, Shellfish",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
4 Noses Brewing Company 'Bout Damn Time IPA,12.99,4.8,5.0,IPA,United States,Independent Craft Brewer,7.1,68.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
"Twisted Tea Original Party Pouch, Hard Iced Tea",18.69,4.6,7.0,Hard Iced Tea,United States,Craft,5.0,35.0,"Fruity, Herbal, Sweet, Crisp, Smooth","Beef, Chicken, Pork",Mason Jar,45.0,130.0,8.0,None
Arrogant Bastard Ale,5.99,4.5,9.0,American Strong Ale,United States,Craft,7.2,100.0,"Strong, Bold, Malty, Toasty","Beef, Duck & Game Bird",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Wachusett Blueberry,11.0,4.8,1.0,Fruit Beer,United States,Craft,4.5,10.0,"Flavored, Blueberry, Sweet",Cheese - Fresh & Soft,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Breckenridge Brewery Vanilla Porter,11.49,4.8,12.0,Porter,United States,Craft,5.4,16.0,"Chocolate, Roasted, Vanilla","Dessert - Vanilla & Caramel, Dessert - Chocolate & Coffee","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Holidaily Brewing Favorite Gluten Free Blonde Ale,16.99,4.6,1.0,Golden / Blonde Ale,United States,Craft,5.0,20.0,No special notesbeer_updated,Unknown,Pint Glass,50.0,130.0,8.0,Gluten Reduced
Strongbow Original Dry Cider,27.32,4.7,5.0,Cider,United Kingdom,Craft,5.0,35.0,"Apple, Dry, Crisp","Pork, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,Gluten Reduced
Heavy Seas TropiCannon,11.99,4.8,5.0,IPA,United States,Craft,7.25,45.0,"Bright, Citrus, Floral",Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
Cisco Brewers Whale's Tale Pale Ale,30.74,4.7,5.0,English Pale Ale / Bitter / ESB,United States,Craft,5.6,40.0,"Balanced, Caramel, Honey, Round, Smooth","Beef, Cheese - Fresh & Soft, Cheese - Stinky, Chicken, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Salads & Greens, Shellfish, Turkey","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Crabbie's Original Alcoholic Ginger Beer,25.5,4.7,7.0,Hard Soda,United Kingdom,Craft,4.8,35.0,"Flavored, Bright, Sweet, Bold","Dessert - Fruit, Shellfish",Pint Glass,55.0,130.0,8.0,None
JuneShine Hard Kombucha Grapefruit Paloma,15.99,4.5,1.0,Hard Kombucha,United States,"Craft, Independent Craft Brewer",6.0,35.0,"Citrus, Crisp, Fresh, Fruity, Grapefruit",Unknown,Unknown,49.0,130.0,8.0,"Gluten-Free, Kosher, Organic"
Brooklyn Pulp Art Hazy IPA,11.99,4.4,1.0,New England / Hazy IPA,United States,"Craft, Independent Craft Brewer",6.5,35.0,"Citrus, Fresh, Fruity, Guava, Hoppy, Melon, Passionfruit, Pineapple, Tropical, Tropical Fruit","Beef, Cheese - Nutty & Semi-Firm, Chicken, Dessert - Fruit, Fruit - Sweet, Salads & Greens, Tomatoes",Snifter/Goblet/Chalice,50.0,130.0,8.0,None
Stone Brewing Buenaveza Salt & Lime Lager,12.05,4.6,434.0,American-Style Lager,United States,Craft,4.7,13.0,No special notesbeer_updated,Unknown,Pilsner Glass,40.0,130.0,8.0,None
Deep Ellum Brewing Co. Dallas Blonde,11.14,4.6,6.0,Golden / Blonde Ale,United States,Craft,5.2,23.0,"Crisp, Light, Balanced","Chicken, Mushrooms",Pint Glass,50.0,130.0,8.0,None
Cayman Jack Mojito,10.99,4.5,10.0,Malt Liquor,United States,Craft,5.8,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
Kentucky Bourbon Barrel Ale,14.29,4.7,14.0,Strong Ale,United States,Craft,8.2,19.0,"Balanced, Malty, Oak, Strong, Vanilla","Cheese - Hard Aged, Beef",Snifter/Goblet/Chalice,55.0,130.0,8.0,None
Newcastle Brown Ale,17.99,4.6,20.0,English Brown Ale,United States,Craft,4.7,18.0,"Nutty, Malty, Caramel","Duck & Game Bird, Fish - Meaty & Oily","Pint Glass, Stein/Pub Mug",50.0,130.0,8.0,None
Wiseacre Tiny Bomb Pilsner,10.99,4.8,5.0,Pilsner,United States,Craft,4.5,39.0,No special notesbeer_updated,Unknown,Pilsner Glass,45.0,130.0,8.0,None
Fruit Smash Hard Seltzer Variety Pack,19.79,4.7,34.0,Hard Seltzer,United States,"Craft, Variety Pack",4.7,35.0,Fruity,"Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Nuts",Snifter/Goblet/Chalice,45.0,100.0,1.0,Gluten-Free
Estrella Jalisco,10.79,4.9,9.0,Pilsner,Mexico,Craft,4.5,35.0,No special notesbeer_updated,Unknown,Pint Glass,40.0,130.0,8.0,None
RAR Nanticoke Nectar IPA,13.34,4.8,4.0,IPA,United States,Independent Craft Brewer,7.4,35.0,No special notesbeer_updated,Unknown,"Pint Glass, Snifter/Goblet/Chalice",50.0,130.0,8.0,None
